geneid	ID	Kegg	Pubmed
1061374	lp_0100	{'lpl02010': 'ABC transporters'}	['29864723', '29807609', '29807587', '29799880', '29793435', '29789435', '29789384', '29775763', '29766532', '29764986']
1061370	lp_0101	{'lpl02010': 'ABC transporters'}	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061372	lp_0102	{'lpl02010': 'ABC transporters'}	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061368	lp_0103	No pathway found	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061369	lp_0104	{'lpl00620': 'Pyruvate metabolism'}	['29028477', '28663742', '28388673', '28275184', '27754450', '27681141', '27064278', '27058352', '26544584', '26387945']
1061366	lp_0105	No pathway found	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061367	lp_0106	No pathway found	['29028477', '28663742', '28388673', '28275184', '27754450', '27681141', '27064278', '27058352', '26544584', '26387945']
1061364	lp_0107	No pathway found	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061363	lp_0108	No pathway found	['29028477', '28663742', '28388673', '28275184', '27754450', '27681141', '27064278', '27058352', '26544584', '26387945']
1061362	lp_0109	No pathway found	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061360	lp_0111	No pathway found	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061358	lp_0113	{'lpl00730': 'Thiamine metabolism', 'lpl01100': 'Metabolic pathways'}	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061357	lp_0114	{'lpl00730': 'Thiamine metabolism', 'lpl01100': 'Metabolic pathways'}	['29028477', '28663742', '28388673', '28275184', '27754450', '27681141', '27064278', '27058352', '26544584', '26387945']
1061356	lp_0115	{'lpl00730': 'Thiamine metabolism', 'lpl01100': 'Metabolic pathways'}	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061355	lp_0116	No pathway found	['29028477', '28663742', '28388673', '28275184', '27754450', '27681141', '27064278', '27058352', '26544584', '26387945']
1061354	lp_0117	No pathway found	['29855525', '29853187', '29853182', '29852530', '29852010', '29849800', '29848551', '29845537', '29813128', '29813015']
1061353	lp_0118	No pathway found	['29028477', '28663742', '28388673', '28275184', '27754450', '27681141', '27064278', '27058352', '26544584', '26387945']
1061351	lp_0119	No pathway found	['16540575', '10595517', '9477326', '8786119']
1061349	lp_0120	No pathway found	[]
1061348	lp_0121	No pathway found	[]
1061347	lp_0122	No pathway found	['16059932']
1061346	lp_0124	No pathway found	[]
1061343	lp_0126	No pathway found	[]
1061342	lp_0127	No pathway found	[]
1061341	lp_0128	No pathway found	['7926815', '1903357']
1061340	lp_0129	No pathway found	['7926815', '1903357']
1061339	lp_0130	No pathway found	[]
1061337	lp_0132	No pathway found	['8751390', '8825634']
1061335	lp_0133	No pathway found	[]
1061336	lp_0134	No pathway found	['8751390', '8825634']
1061333	lp_0136	No pathway found	['25557988']
1061331	lp_0137	{'lpl00750': 'Vitamin B6 metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01120': 'Microbial metabolism in diverse environments'}	['29560661', '29191591', '29037901', '28776957', '28776951', '28632323', '28613373', '28506627', '28391248', '28332201']
1061330	lp_0138	No pathway found	['29560661', '29191591', '29037901', '28776957', '28776951', '28632323', '28613373', '28506627', '28391248', '28332201']
1061329	lp_0139	No pathway found	['16901907', '10640392']
1061328	lp_0141	No pathway found	[]
1061324	lp_0145	No pathway found	[]
1061322	lp_0146	No pathway found	['29649751', '29490877', '29479347', '29439654', '29389983', '29378646', '29351318', '29312211', '29293080', '29228901']
1061321	lp_0148	{'lpl02010': 'ABC transporters'}	['29850847', '29847599', '29802420', '29799389', '29793791', '29792781', '29788275', '29761054', '29748253', '29743110']
1061320	lp_0149	{'lpl02010': 'ABC transporters'}	['29649751', '29490877', '29479347', '29439654', '29389983', '29378646', '29351318', '29312211', '29293080', '29228901']
1061319	lp_0150	No pathway found	['29850847', '29847599', '29802420', '29799389', '29793791', '29792781', '29788275', '29761054', '29748253', '29743110']
1061317	lp_0152	No pathway found	['29850847', '29847599', '29802420', '29799389', '29793791', '29792781', '29788275', '29761054', '29748253', '29743110']
1061316	lp_0154	No pathway found	['29850847', '29847599', '29802420', '29799389', '29793791', '29792781', '29788275', '29761054', '29748253', '29743110']
1061315	lp_0155	No pathway found	['29850847', '29847599', '29802420', '29799389', '29793791', '29792781', '29788275', '29761054', '29748253', '29743110']
1061314	lp_0156	No pathway found	['29853735', '29718575', '29703740', '29685143', '29656087', '29636285', '29633683', '29605729', '29584650', '29534770']
1061141	lp_0158	No pathway found	[]
1061140	lp_0159	{'lpl00061': 'Fatty acid biosynthesis', 'lpl00780': 'Biotin metabolism', 'lpl01040': 'Biosynthesis of unsaturated fatty acids', 'lpl01100': 'Metabolic pathways', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01212': 'Fatty acid metabolism'}	[]
1061136	lp_0160	No pathway found	[]
1061134	lp_0161	No pathway found	[]
1061133	lp_0162	No pathway found	[]
1061132	lp_0163	No pathway found	[]
1061130	lp_0164	No pathway found	[]
1064061	lp_0165	No pathway found	[]
1061294	lp_0166	{'lpl00051': 'Fructose and mannose metabolism', 'lpl00561': 'Glycerolipid metabolism', 'lpl00680': 'Methane metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01200': 'Carbon metabolism'}	['29146263', '28924043', '28799013', '28652406', '27746023', '26432170', '26366556', '26108447', '25786258', '25117315']
1062139	lp_0168	{'lpl00561': 'Glycerolipid metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1062141	lp_0169	{'lpl00561': 'Glycerolipid metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1062140	lp_0170	{'lpl00561': 'Glycerolipid metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1064059	lp_0171	No pathway found	[]
1062145	lp_0172	No pathway found	[]
1062144	lp_0173	No pathway found	[]
1062142	lp_0174	{'lpl00052': 'Galactose metabolism', 'lpl00500': 'Starch and sucrose metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1064060	lp_0175	{'lpl02010': 'ABC transporters'}	[]
1062146	lp_0176	{'lpl02010': 'ABC transporters'}	[]
1062147	lp_0177	{'lpl02010': 'ABC transporters'}	[]
1062160	lp_0178	No pathway found	[]
1062152	lp_0179	{'lpl00500': 'Starch and sucrose metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1062149	lp_0183	No pathway found	[]
1062164	lp_0184	{'lpl00051': 'Fructose and mannose metabolism', 'lpl00500': 'Starch and sucrose metabolism', 'lpl00520': 'Amino sugar and nucleotide sugar metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1062163	lp_0185	{'lpl00500': 'Starch and sucrose metabolism', 'lpl02060': 'Phosphotransferase system (PTS)'}	[]
1062167	lp_0187	{'lpl00052': 'Galactose metabolism', 'lpl00500': 'Starch and sucrose metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1062166	lp_0188	No pathway found	[]
1062165	lp_0190	No pathway found	[]
1062169	lp_0192	No pathway found	[]
1062168	lp_0194	No pathway found	[]
1064062	lp_0197	No pathway found	[]
1062170	lp_0199	No pathway found	[]
1062172	lp_0202	No pathway found	[]
1062171	lp_0203	{'lpl00260': 'Glycine, serine and threonine metabolism', 'lpl00680': 'Methane metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01200': 'Carbon metabolism', 'lpl01230': 'Biosynthesis of amino acids'}	[]
1062138	lp_0204	{'lpl00260': 'Glycine, serine and threonine metabolism', 'lpl00680': 'Methane metabolism', 'lpl00750': 'Vitamin B6 metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01200': 'Carbon metabolism', 'lpl01230': 'Biosynthesis of amino acids'}	[]
1062135	lp_0205	No pathway found	[]
1062137	lp_0206	No pathway found	[]
1062197	lp_0207	No pathway found	[]
1062178	lp_0208	No pathway found	[]
1064063	lp_0209	No pathway found	[]
1062182	lp_0210	{'lpl00430': 'Taurine and hypotaurine metabolism', 'lpl00620': 'Pyruvate metabolism', 'lpl00640': 'Propanoate metabolism', 'lpl00680': 'Methane metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01200': 'Carbon metabolism'}	[]
1062179	lp_0213	No pathway found	[]
1062189	lp_0214	No pathway found	[]
1062187	lp_0215	{'lpl02010': 'ABC transporters'}	[]
1062183	lp_0217	{'lpl02010': 'ABC transporters'}	[]
1062191	lp_0218	{'lpl02010': 'ABC transporters'}	[]
1062190	lp_0219	No pathway found	[]
1062194	lp_0220	{'lpl00480': 'Glutathione metabolism', 'lpl00590': 'Arachidonic acid metabolism'}	[]
1062193	lp_0221	No pathway found	[]
1064064	lp_0223	No pathway found	[]
1062196	lp_0224	No pathway found	[]
1062195	lp_0225	No pathway found	[]
1062198	lp_0226	{'lpl00520': 'Amino sugar and nucleotide sugar metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1064065	lp_0228	No pathway found	[]
1062173	lp_0230	{'lpl00051': 'Fructose and mannose metabolism', 'lpl02060': 'Phosphotransferase system (PTS)'}	[]
1062133	lp_0231	No pathway found	[]
1061122	lp_0232	{'lpl00051': 'Fructose and mannose metabolism', 'lpl02060': 'Phosphotransferase system (PTS)'}	[]
1064211	lp_0233	{'lpl00051': 'Fructose and mannose metabolism'}	[]
1061131	lp_0235	No pathway found	[]
1064207	lp_0236	No pathway found	[]
1064206	lp_0239	No pathway found	[]
1061291	lp_0240	No pathway found	[]
1064165	lp_0242	{'lpl00230': 'Purine metabolism', 'lpl00240': 'Pyrimidine metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01130': 'Biosynthesis of antibiotics'}	[]
1061327	lp_0243	No pathway found	['29760194', '29743364', '29730385', '29693124', '29616048', '29604186', '29550589', '29507355', '29463313', '29329668']
1061325	lp_0244	No pathway found	['28721811', '28294062', '28286738', '27127460', '26735435', '26255626', '23726895', '21134130', '19917848', '19695222']
1064164	lp_0254	{'lpl00270': 'Cysteine and methionine metabolism', 'lpl00920': 'Sulfur metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01200': 'Carbon metabolism', 'lpl01230': 'Biosynthesis of amino acids'}	[]
1061332	lp_0255	{'lpl00270': 'Cysteine and methionine metabolism', 'lpl00450': 'Selenocompound metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01230': 'Biosynthesis of amino acids'}	['29858808', '29844122', '29797816', '29797348', '29790161', '29789121', '29788904', '29787980', '29780384', '29764836']
1064162	lp_0256	{'lpl00270': 'Cysteine and methionine metabolism', 'lpl00920': 'Sulfur metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01200': 'Carbon metabolism', 'lpl01230': 'Biosynthesis of amino acids'}	[]
1064160	lp_0257	No pathway found	[]
1061350	lp_0259	No pathway found	['8786119']
1064155	lp_0260	No pathway found	[]
1064157	lp_0261	No pathway found	[]
1061359	lp_0262	No pathway found	['29028477', '28663742', '28388673', '28275184', '27754450', '27681141', '27064278', '27058352', '26544584', '26387945']
1064154	lp_0263	{'lpl00500': 'Starch and sucrose metabolism'}	[]
1061365	lp_0266	No pathway found	['29028477', '28663742', '28388673', '28275184', '27754450', '27681141', '27064278', '27058352', '26544584', '26387945']
1064153	lp_0271	{'lpl00130': 'Ubiquinone and other terpenoid-quinone biosynthesis', 'lpl00627': 'Aminobenzoate degradation', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01220': 'Degradation of aromatic compounds'}	[]
1064150	lp_0272	No pathway found	[]
1061378	lp_0273	No pathway found	['29864723', '29807609', '29807587', '29799880', '29793435', '29789435', '29789384', '29775763', '29766532', '29764986']
1064149	lp_0274	No pathway found	[]
1061384	lp_0275	No pathway found	['29864723', '29807609', '29807587', '29799880', '29793435', '29789435', '29789384', '29775763', '29766532', '29764986']
1061382	lp_0276	No pathway found	['29864723', '29807609', '29807587', '29799880', '29793435', '29789435', '29789384', '29775763', '29766532', '29764986']
1064148	lp_0277	No pathway found	[]
1064147	lp_0279	No pathway found	[]
1061391	lp_0280	No pathway found	['29156680', '28259942', '26740055', '25586139', '23973289', '23673116', '22998747', '21737612', '21559832', '20377414']
1064146	lp_0281	No pathway found	[]
1064144	lp_0282	No pathway found	[]
1061395	lp_0283	No pathway found	['29156680', '28259942', '26740055', '25586139', '23973289', '23673116', '22998747', '21737612', '21559832', '20377414']
1064145	lp_0284	No pathway found	[]
1061400	lp_0285	No pathway found	['23214257', '16677028', '11071455', '10923413', '10202890', '9650760', '9100576', '9137884', '9237238', '8875892']
1064143	lp_0286	{'lpl00500': 'Starch and sucrose metabolism', 'lpl02060': 'Phosphotransferase system (PTS)'}	[]
1061404	lp_0287	No pathway found	['9371433', '9195968', '8617801']
1061409	lp_0289	No pathway found	[]
1064142	lp_0290	No pathway found	[]
1061407	lp_0291	{'lpl00630': 'Glyoxylate and dicarboxylate metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics'}	['8742336']
1061415	lp_0292	No pathway found	['25183649', '21188475', '21063813', '20361763', '17955352', '17439954', '16151213', '11532136', '9464374', '9271073']
1064141	lp_0293	{'lpl00230': 'Purine metabolism'}	[]
1061420	lp_0294	No pathway found	['29744292', '29734726', '29605100', '29361612', '29293507', '29181017', '29042459', '28893470', '28443028', '28287246']
1061433	lp_0295	No pathway found	[]
1064139	lp_0296	{'lpl03410': 'Base excision repair'}	[]
1061431	lp_0298	No pathway found	[]
1061487	lp_0299	No pathway found	[]
1062435	lp_0300	No pathway found	[]
1062437	lp_0301	No pathway found	[]
1062506	lp_0302	No pathway found	[]
1062507	lp_0304	No pathway found	[]
1062508	lp_0305	No pathway found	[]
1062511	lp_0306	No pathway found	[]
1062598	lp_0307	No pathway found	[]
1062609	lp_0308	No pathway found	[]
1062624	lp_0310	{'lpl00430': 'Taurine and hypotaurine metabolism', 'lpl00620': 'Pyruvate metabolism', 'lpl00640': 'Propanoate metabolism', 'lpl00680': 'Methane metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01200': 'Carbon metabolism'}	[]
1062799	lp_0311	No pathway found	[]
1062817	lp_0312	No pathway found	[]
1062819	lp_0313	{'lpl00190': 'Oxidative phosphorylation'}	[]
1062849	lp_0314	No pathway found	[]
1062857	lp_0315	{'lpl02010': 'ABC transporters'}	[]
1062991	lp_0316	{'lpl02010': 'ABC transporters'}	[]
1062992	lp_0317	{'lpl02010': 'ABC transporters'}	[]
1062994	lp_0318	{'lpl02010': 'ABC transporters'}	[]
1063001	lp_0319	No pathway found	[]
1063037	lp_0320	No pathway found	[]
1063321	lp_0321	No pathway found	[]
1063322	lp_0322	No pathway found	[]
1063334	lp_0324	No pathway found	[]
1063352	lp_0325	No pathway found	[]
1063358	lp_0326	No pathway found	[]
1063371	lp_0327	No pathway found	[]
1063373	lp_0329	No pathway found	[]
1063384	lp_0330	{'lpl00010': 'Glycolysis / Gluconeogenesis', 'lpl00030': 'Pentose phosphate pathway', 'lpl00051': 'Fructose and mannose metabolism', 'lpl00680': 'Methane metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01200': 'Carbon metabolism', 'lpl01230': 'Biosynthesis of amino acids'}	[]
1063387	lp_0331	No pathway found	[]
1063389	lp_0332	No pathway found	[]
1063421	lp_0333	No pathway found	['29800488', '29798164', '29655966', '29642692', '29441500', '29408207', '29373767', '29329321', '29246105', '29152554']
1063422	lp_0334	No pathway found	['27542599', '27525886', '27188424', '27159279', '27038171', '26547898', '26223967', '25831041', '25445653', '25318583']
1063424	lp_0335	No pathway found	[]
1063452	lp_0336	{'lpl02010': 'ABC transporters'}	[]
1063458	lp_0337	{'lpl00780': 'Biotin metabolism', 'lpl01100': 'Metabolic pathways'}	[]
1063506	lp_0339	{'lpl00270': 'Cysteine and methionine metabolism', 'lpl01100': 'Metabolic pathways'}	['27542599', '27525886', '27188424', '27159279', '27038171', '26547898', '26223967', '25831041', '25445653', '25318583']
1063526	lp_0340	No pathway found	['28103835', '27544718', '27199457', '25258334', '25227149', '24770546', '23443263', '23169394', '22876573', '22854039']
1063531	lp_0343	{'lpl02010': 'ABC transporters'}	['28103835', '27544718', '27199457', '25258334', '25227149', '24770546', '23443263', '23169394', '22876573', '22854039']
1063532	lp_0344	{'lpl02010': 'ABC transporters'}	['28103835', '27544718', '27199457', '25258334', '25227149', '24770546', '23443263', '23169394', '22876573', '22854039']
1063560	lp_0346	No pathway found	['29642139', '29308833', '28973543', '28972182', '28969371', '28968464', '28771801', '28737457', '28721811', '28643793']
1063561	lp_0347	No pathway found	['29642139', '29308833', '28973543', '28972182', '28969371', '28968464', '28771801', '28737457', '28721811', '28643793']
1063562	lp_0348	No pathway found	['29642139', '29308833', '28973543', '28972182', '28969371', '28968464', '28771801', '28737457', '28721811', '28643793']
1063570	lp_0349	No pathway found	['29642139', '29308833', '28973543', '28972182', '28969371', '28968464', '28771801', '28737457', '28721811', '28643793']
1063589	lp_0350	{'lpl00010': 'Glycolysis / Gluconeogenesis', 'lpl00270': 'Cysteine and methionine metabolism', 'lpl00620': 'Pyruvate metabolism', 'lpl00640': 'Propanoate metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics'}	['8635754']
1063590	lp_0351	No pathway found	['29863274', '29860433', '29848552', '29793167', '29779823', '29770657', '29729128', '29724730', '29669943', '29621349']
1063591	lp_0353	No pathway found	['8597595']
1063592	lp_0354	{'lpl00030': 'Pentose phosphate pathway', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01200': 'Carbon metabolism', 'lpl01230': 'Biosynthesis of amino acids'}	['8509423']
1063666	lp_0357	No pathway found	['29864787', '29864734', '29864717', '29864709', '29864595', '29864577', '29864546', '29864530', '29864522', '29864445']
1063667	lp_0358	No pathway found	['19095618', '11121578', '8626340']
1063670	lp_0359	No pathway found	['10721697', '9568537']
1063680	lp_0360	No pathway found	['29800592', '29730763', '29703740', '29678552', '29670022', '29614718', '29540593', '29524834', '29462971', '29455324']
1063683	lp_0361	No pathway found	[]
1063686	lp_0362	{'lpl00061': 'Fatty acid biosynthesis', 'lpl00620': 'Pyruvate metabolism', 'lpl00640': 'Propanoate metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01200': 'Carbon metabolism', 'lpl01212': 'Fatty acid metabolism'}	['29238204', '28857293', '28837878', '28731194', '28683764', '28586035', '28335083', '28081154', '27969548', '27834104']
1063691	lp_0363	No pathway found	['29272738', '29182667', '29167402', '29150919', '28978466', '28947378', '28882895', '28579939', '28478735', '28424476']
1063692	lp_0364	No pathway found	[]
1063693	lp_0367	{'lpl02010': 'ABC transporters'}	[]
1063695	lp_0368	{'lpl02010': 'ABC transporters'}	[]
1063741	lp_0369	{'lpl00480': 'Glutathione metabolism'}	[]
1063743	lp_0371	{'lpl00564': 'Glycerophospholipid metabolism', 'lpl01110': 'Biosynthesis of secondary metabolites'}	[]
